PREFIX	Trust	Hospital/Trust	POSTALCODE
50552309	University Hospitals Coventry and Warwickshire NHS Trust 	University Hospitals Coventry and Warwickshire NHS Trust 	CV2 2DX   
50552070	University Hospitals of Leicester NHS Trust	University Hospitals of Leicester NHS Trust	LE1 5WW
50552347	Kensington & Chelsea NHS PCT	Violet Melchett Clinic, Central London Community Healthcare	SW3 9TM
50552230	Salford Primary Care Trust	Walkden Gateway Clinic	WN6 9EP
50552128	Walsall Hospitals NHS Trust	Walsall Manor Hospital	WS2 9PS
50552319	Northumbria Healthcare NHS Foundation Trust	Wansbeck General Hospital	NE63 9JJ
50552256	Warrington & Halton Hospitals NHS Trust	Warrington & Halton Hospitals NHS Trust	WA5 1QG   
50552060	Warrington & Halton Hospitals NHS Trust	Warrington Hospital	WA5 1QG
50552303	South Warwickshire NHS Foundation Trust	Warwick Hospital 	CV34 5BW
50552299	West Hertfordshire Hospitals NHS Trust	Watford General Hospital	WD18 0HB  
50552079	Blackpool, Fylde and Wyre Hospitals NHS Trust	Wesham Rehab Unit (PFI)	PR4 3HA
50552349	West Hertfordshire Hospitals NHS Trust	West Herts APU NHS Trust	WD18 OHB
506006856	West Hertfordshire Hospitals NHS Trust	West Herts APU NHS Trust	WD18 OHB
506006857	West Hertfordshire Hospitals NHS Trust	West Herts APU NHS Trust	WD18 OHB
50552160	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552161	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552162	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552163	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552164	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552165	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552166	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552167	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552168	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552169	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital	TW7 6AF
50552308	West Middlesex University Hospital NHS Trust	West Middlesex University Hospital NHS Trust	TW7 5AJ   
50552210	Imperial College Healthcare NHS Trust	Western Eye Hospital	W6 8RF
50552290	Western Sussex Hospitals NHS Trust	Western Sussex Hospitals NHS Trust	PO19 6SE  
50552253	University Hospitals of Morecambe Bay NHS Trust	Westmorland General Hospital Sterile Services Dept	LA9 7RG
50552304	Weston Area Health NHS Trust	Weston General Hospital	BS23 4TQ  
50552193	Leeds Teaching Hospitals NHS Trust	Wharfedale Hospital (GLN)	LS1 3EX
50552115	Wrightington, Wigan and Leigh NHS Foundation Trust	Whelley Hospital	BL6 6SB
50552130	Barts Health NHS Trust	Whipps Cross University Hospital Pharmacy Dept.	E11 1NR
5053170	Barts Health NHS Trust	Whipps Cross University Hospital TSDU	E11 1NR   
50552305	Barts Health NHS Trust	Whipps Cross University Hospital TSDU	E11 1NR   
50552091	St Helens and Knowsley Teaching Hospitals NHS Hospitals Trust	Whiston Hospital	DE24 8SW
50552178	East Kent Hospitals NHS Trust	William Harvey Hospital	TN24 0LZ
50552244	Worcester Acute Hospitals NHS Trust	Worcester Acute Hospitals NHS Trust	WR5 1DD   
50552310	Worcester Acute Hospitals NHS Trust	Worcester Acute Hospitals NHS Trust Sterile Services Dept.	B98 7UB   
50552313	Western Sussex Hospitals NHS Trust	Worthing Hospital CSSD	BN11 2DH  
50552150	Western Sussex Hospitals NHS Trust	Worthing Hospital Pharmacy Dept.	BN11 2DH
50552114	Wrightington, Wigan and Leigh NHS Foundation Trust	Wrightington Hospital	WN6 9EP
50552059	University Hospital of South Manchester NHS Foundation Trust	Wythenshawe Hospital	M23 9LT
50552238	Yeovil District Hospital NHS Foundation Trust	Yeovil District Hospital NHS Foundation Trust	BA21 4AT
50552195	York Hospitals NHS Foundation Trust	York Hospital	YO31 8HE
